ln,dob,gn,fn
ASBY JR,01/03/68,F,WILLIAM
ROTHMEYER JR,01/03/68,F,WILLIAM
SALTER JR,01/03/68,F,WILLIAM
SMITH JR,01/03/68,F,WILLIAM
MICHAELSON JR,01/05/51,M,ROY
FUNARO,06/12/37,F,HARRIET
GRIFFIN JR,07/05/37,M,CLARENCE
GRIFFIN JR,07/05/37,M,CLIFFORD
GRIFFIN JR,07/05/37,M,DARL
GRIFFIN JR,07/10/37,M,DARH
FAGEN JR,07/10/37,M,GEORGE
CHAVAS JR,07/10/37,M,HAROLD
FAGEN JR,07/10/37,M,HAROLD
HOUGHTON JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MICHAELSON JR,07/10/37,M,HAROLD
MUSTAPHA JR,07/10/37,M,HAROLD
SMITH JR,07/10/37,M,HAROLD
BLAND JR,08/06/54,F,WILLIAM
CLARK,09/02/45,M,DONALD
MICHAELSON JR,09/04/47,M,BOB
MICHAELSON JR,09/04/47,M,ROBERT
MICHAELSON JR,09/04/47,M,ROY
LARSON JR,09/06/39,M,HAROLD
MICHAELSON JR,09/06/39,M,JACK
CLARK,09/06/45,M,JOHN
GRIFFIN JR,10/07/37,M,DARL
MUSTAPHA JR,11/03/47,M,OWAN
GALETICH JR,15/10/32,M,ADDISON
CLARK,16/12/44,M,JOHN
MICHAELSON JR,16/12/44,M,JOHN
MICHAELSON JR,17/06/48,M,ROY
CAIN JR,20/01/46,M,JOHN
LIND JR,20/01/46,M,JOHN
BLAND JR,21/02/62,F,BILL
BLAND,21/02/62,F,WILLIAM
SHAFFER JR,21/02/62,F,WILLIAM
MICHAELSON JR,24/04/40,M,JOHN
MICHAELSON JR,24/06/39,M,JACK
MICHAELSON JR,24/06/39,M,JAMES
MICHAELSON JR,24/06/39,M,JOHN
HANNA,24/11/34,M,ADDISON
CARLSON JR,25/10/53,F,RON
DUNCAN JR,25/10/53,F,ROY
DUNCAN JR,25/10/53,F,THOMAS
BLAND JR,25/10/53,F,WILLIAM
SHAFFER JR,25/10/53,F,WILLIAM
MICHAELSON,25/10/53,M,ROY
LIND JR,31/01/46,M,KENNETH
HOUGHTON JR,31/01/46,M,LAWRENCE
LIND JR,31/01/46,M,LAWRENCE
